epoch,lr,train_loss_total,train_loss_rul,train_loss_fault,test_rmse,test_mae,test_nasa_score,test_auprc,test_f1,test_precision,test_recall,epoch_seconds
1,0.001,641.2172869001116,640.4562238420759,1.5221278054373606,62.91769790649414,52.82510757446289,46184.962260744,0.8543625860536617,0.6329113924050633,0.46296296296296297,1.0,1.677799099998083
2,0.0009990133642141358,422.37550179617745,421.38097403390066,1.9890614748001099,33.13261413574219,28.41208267211914,2068.3100867974676,0.8406045955749282,0.45714285714285713,0.8,0.32,2.084691700001713
3,0.000996057350657239,160.9976542881557,160.55700465611048,0.8812980830669404,15.290874481201172,11.250596046447754,587.0683089890397,0.9359259586041455,0.8936170212765957,0.9545454545454546,0.84,2.2575478999933694
4,0.0009911436253643444,86.99195883614676,86.82507062639509,0.3337758753980909,14.56434440612793,10.560812950134277,538.1616643720548,0.9827261099778264,0.8936170212765957,0.9545454545454546,0.84,2.4196344000010868
5,0.0009842915805643156,78.88635537283761,78.75449207850865,0.26372597153697697,14.023117065429688,9.940590858459473,356.6638051254489,0.9868313731357211,0.9615384615384616,0.9259259259259259,1.0,2.505018599993491
6,0.0009755282581475769,73.6746760232108,73.54796436854771,0.2534238302281925,14.059038162231445,9.931339263916016,356.83260529848087,0.9887361350404831,0.9615384615384616,0.9259259259259259,1.0,1.663201700001082
7,0.0009648882429441258,67.2589348929269,67.12889447893416,0.26008120030164716,14.49533748626709,10.17162799835205,460.439089578761,0.9905543168586648,0.9411764705882353,0.9230769230769231,0.96,1.7513699999981327
8,0.0009524135262330099,62.29626132420131,62.17219336373466,0.24813579555068696,14.312149047851562,10.246140480041504,385.83148735487566,0.9905543168586648,0.9615384615384616,0.9259259259259259,1.0,1.663120600002003
9,0.0009381533400219318,58.276631927490236,58.155278996058875,0.24270610149417604,14.957319259643555,10.918146133422852,477.6551181803877,0.9912698412698414,0.9387755102040817,0.9583333333333334,0.92,1.7688206999955582
10,0.0009221639627510075,54.2773930140904,54.16179171970912,0.23120289742946626,15.571231842041016,11.089751243591309,627.9724005493363,0.9874267806267807,0.9411764705882353,0.9230769230769231,0.96,1.614830599995912
11,0.0009045084971874736,49.375416019984655,49.26603273664202,0.2187666375722204,14.807130813598633,10.810904502868652,425.8812506534686,0.985608598808599,0.9615384615384616,0.9259259259259259,1.0,1.5926313000018126
