round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,macro_rmse,macro_nasa_score,macro_auprc,macro_f1,round_seconds,client_1_rmse,client_1_f1,client_2_rmse,client_2_f1,client_3_rmse,client_3_f1,client_4_rmse,client_4_f1
1,0.001,756.5931750424558,755.866037395488,1.4542703183585877,72.4052848815918,125307.25177965476,0.693810442571306,0.36666666666666664,6.40785329999926,73.30512237548828,0.4,73.19680786132812,0.4,71.49734497070312,0.3333333333333333,71.62186431884766,0.3333333333333333
2,0.0009989726963751681,638.7634143728967,637.9681036725492,1.5906216583048136,62.573049545288086,49197.12253231511,0.7616825914028805,0.0,4.526350200001616,64.14823913574219,0.0,63.792388916015625,0.0,60.982975006103516,0.0,61.368595123291016,0.0
3,0.000995895006911623,534.399542716897,533.5348959492055,1.7292921392797447,50.69260883331299,14273.733304807927,0.7821976381412279,0.7282837603126356,4.196404000002076,52.98868942260742,0.8163265306122449,52.34018325805664,0.7659574468085106,48.378387451171875,0.6808510638297872,49.063175201416016,0.65
4,0.0009907795784955327,408.43900401903306,407.74529427448323,1.3874197357111504,35.90553855895996,3077.6681538280627,0.846487347811582,0.648174946201262,4.621081700010109,39.01504898071289,0.65,38.05747604370117,0.5405405405405406,32.74894714355469,0.717948717948718,33.800682067871094,0.6842105263157895
5,0.0009836474315195148,259.64132772582,259.13391003512777,1.0148359520716408,24.309685230255127,1802.4772797248027,0.8838786655230275,0.7868625277161863,4.517357000004267,25.81267738342285,0.7727272727272727,25.382287979125977,0.7727272727272727,22.885021209716797,0.8292682926829268,23.158754348754883,0.7727272727272727
6,0.0009745278735053344,150.8635318108664,150.52699800379946,0.6730684148397984,22.136526584625244,4088.2091333116728,0.8811606675789052,0.7886495004333915,4.428837100000237,20.13768768310547,0.7727272727272727,21.69705581665039,0.7619047619047619,24.39119529724121,0.8292682926829268,22.320167541503906,0.7906976744186046
7,0.0009634583786730109,116.60995420819884,116.33740386249721,0.5451006883869242,20.138933181762695,2053.9722324985855,0.8831739358687425,0.8173751714124384,4.505958300011116,18.576780319213867,0.8979591836734694,20.135347366333008,0.8260869565217391,21.229875564575195,0.7727272727272727,20.61372947692871,0.7727272727272727
8,0.0009504844339512095,106.04747210683468,105.84028466927074,0.4143749535200453,17.810728073120117,939.4341652611326,0.9106001187957535,0.8445451669039709,4.700596599999699,16.385879516601562,0.88,17.294750213623047,0.8979591836734694,19.06585121154785,0.8095238095238095,18.496431350708008,0.7906976744186046
9,0.0009356593520616947,94.55814992291708,94.39262616922754,0.3310479715892753,17.36076259613037,859.9220083290861,0.9405771061535115,0.8957942464040025,4.67195809999248,16.109237670898438,0.9166666666666666,16.703285217285156,0.9166666666666666,18.485191345214844,0.8717948717948718,18.145336151123047,0.8780487804878049
10,0.0009190440524459203,88.43965268419407,88.3003725796804,0.27856069792401733,16.06973624229431,635.6466203731878,0.9545349704090318,0.9016105046669831,4.695845199996256,15.440482139587402,0.92,16.02585220336914,0.8979591836734694,16.574663162231445,0.9047619047619048,16.237947463989258,0.8837209302325582
11,0.0009007068109339783,84.91754048864907,84.8027877596843,0.22950539409061857,15.582067012786865,582.0562006509166,0.9676815650156083,0.9231919109107057,4.939513000004808,14.666227340698242,0.9411764705882353,15.423086166381836,0.92,15.97364616394043,0.9047619047619048,16.265308380126953,0.926829268292683
