round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,macro_rmse,macro_nasa_score,macro_auprc,macro_f1,round_seconds,client_1_rmse,client_1_f1,client_2_rmse,client_2_f1,client_3_rmse,client_3_f1,client_4_rmse,client_4_f1
1,0.001,710.0471456362748,709.3790783707628,1.3361354590037622,62.8628454208374,120842.80891674693,0.25119312517738424,0.0,14.414177500002552,62.15830993652344,0.0,61.97193145751953,0.0,63.357025146484375,0.0,63.964115142822266,0.0
2,0.0009989726963751681,444.8952130051404,443.97095211569285,1.8485223037184486,43.114824295043945,49099.33024120556,0.32520270933381046,0.0,11.567978799983393,42.9412727355957,0.0,42.96614074707031,0.0,43.45086669921875,0.0,43.101016998291016,0.0
3,0.000995895006911623,297.91319800105646,296.9386412002401,1.9491139020348127,29.758503437042236,42948.88503155542,0.6037604911098235,0.598691116796048,12.254527899960522,27.826711654663086,0.6788990825688074,28.212261199951172,0.38125,32.05523681640625,0.7,30.939804077148438,0.6346153846153846
4,0.0009907795784955327,167.31392419050263,166.82953213265847,0.9687844376583483,26.919161319732666,21355.455635235267,0.7804334478244129,0.7227578435530151,11.962082999991253,24.417198181152344,0.7310344827586207,25.102190017700195,0.7555555555555555,28.96508026123047,0.6976744186046512,29.192176818847656,0.706766917293233
5,0.0009836474315195148,154.10924696073073,153.82209924013551,0.5742954455073904,25.198614597320557,12453.125572795389,0.8127214027800969,0.7327709859443154,11.956341200042516,22.8715763092041,0.738255033557047,23.20351219177246,0.7402597402597403,27.396499633789062,0.7101449275362319,27.3228702545166,0.7424242424242424
6,0.0009745278735053344,145.6405702680552,145.39169756670717,0.4977456617187823,24.068641185760498,10196.944498860807,0.8490793965770989,0.7734088442919478,11.87771159998374,21.81814956665039,0.7887323943661971,22.30220603942871,0.7913669064748201,26.1453800201416,0.7596899224806202,26.00882911682129,0.7538461538461538
7,0.0009634583786730109,137.71669965934225,137.48850003657304,0.456398909999852,23.1667423248291,9327.620009780489,0.8724144367955495,0.7922171863069094,10.777798899973277,21.15715789794922,0.8260869565217391,21.732982635498047,0.8175182481751825,24.970853805541992,0.7633587786259542,24.80597496032715,0.7619047619047619
8,0.0009504844339512095,132.2558492267882,132.040812505394,0.4300731632971454,22.646349906921387,8965.764281262886,0.8748745436998973,0.8020021547979008,11.086986700014677,20.685842514038086,0.8201438848920863,21.214229583740234,0.8260869565217391,24.35556411743164,0.784,24.329763412475586,0.7777777777777778
9,0.0009356593520616947,128.6513257069571,128.44312783681033,0.41639551168781075,22.04833698272705,7530.002981930631,0.8869532341612905,0.7982078308165265,11.253872199973557,20.237995147705078,0.8111888111888111,20.77753257751465,0.8260869565217391,23.607900619506836,0.7777777777777778,23.56991958618164,0.7777777777777778
10,0.0009190440524459203,124.57569191454704,124.37658840733552,0.39820661438706445,21.83011531829834,5522.1814546395135,0.8918164059502812,0.7949300699300699,10.774335700029042,20.07979965209961,0.8111888111888111,19.966325759887695,0.8111888111888111,23.868627548217773,0.7846153846153846,23.40570831298828,0.7727272727272727
11,0.0009007068109339783,121.6708567704855,121.47490526001096,0.39190319756988345,21.549009323120117,7517.543106890808,0.8863492457143226,0.814597780653985,11.898557599983178,19.678123474121094,0.8444444444444444,20.27849006652832,0.8169014084507042,23.219791412353516,0.7903225806451613,23.01963233947754,0.8067226890756303
12,0.0008807229791845672,119.07272857104971,118.87858626539119,0.3882845595034562,21.260896682739258,6169.043776247034,0.886651104082832,0.8000443220453258,10.656527200015262,19.373973846435547,0.8111888111888111,19.633333206176758,0.8201438848920863,23.17449951171875,0.7936507936507936,22.861780166625977,0.7751937984496124
13,0.0008591746750488638,117.00040408470956,116.81217929093215,0.37644921382868235,21.534127712249756,8200.243464540305,0.8899785378327504,0.8066265368577606,11.988391900027636,19.59720802307129,0.8226950354609929,20.26006507873535,0.8260869565217391,23.25992774963379,0.7903225806451613,23.019309997558594,0.7874015748031497
14,0.0008361504451306584,114.977733703573,114.7898529775683,0.37576168493953466,21.110569953918457,7034.727212011998,0.9070367326924308,0.8012786473741502,15.218581499997526,19.16924476623535,0.8115942028985508,19.64422035217285,0.8057553956834532,22.889551162719727,0.8031496062992126,22.7392635345459,0.7846153846153846
15,0.0008117449009293668,112.95071767196302,112.76608059584244,0.36927455241070245,20.728477954864502,6187.708032627019,0.9131074308438208,0.8108361264853039,13.59977800003253,18.715774536132812,0.8169014084507042,19.226469039916992,0.8201438848920863,22.58672332763672,0.8031496062992126,22.384944915771484,0.8031496062992126
16,0.0007860583300610849,111.05223905266342,110.87095586928837,0.36256645755588846,20.654640197753906,6622.193933704104,0.9158836209136807,0.8109357419403488,12.92338649998419,18.476991653442383,0.8169014084507042,18.9124755859375,0.8201438848920863,22.741994857788086,0.816,22.487098693847656,0.7906976744186046
17,0.0007591962841552626,110.64750072527868,110.46656262970566,0.3618761481326015,20.867704391479492,8146.351368297727,0.9201656260915798,0.8155499674131836,11.959622099995613,18.770679473876953,0.8226950354609929,19.496042251586914,0.8235294117647058,22.4456787109375,0.8095238095238095,22.7584171295166,0.8064516129032258
18,0.0007312691451204176,108.7150879042771,108.53459130589127,0.3609932899763926,20.419254779815674,5708.180288094488,0.9261017098982038,0.8107334001279172,11.82291659998009,18.15226936340332,0.8226950354609929,18.4417724609375,0.8201438848920863,22.630495071411133,0.8062015503875969,22.452482223510742,0.7938931297709924
19,0.0007023916715611969,107.09013474779414,106.913663020484,0.3529437306212261,20.560731887817383,7595.826455279652,0.9259922702423633,0.8290396115579324,12.123940699966624,18.261581420898438,0.8201438848920863,19.277135848999023,0.8507462686567164,22.40920066833496,0.8292682926829268,22.29500961303711,0.816
