round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_mae,global_test_nasa_score,global_test_auprc,global_test_f1,global_test_precision,global_test_recall,round_seconds
1,0.001,667.1782835924637,666.3994760841083,1.557614317710323,60.011810302734375,50.39723587036133,75971.96181759075,0.8260104885255759,0.4838709677419355,0.3191489361702128,1.0,5.908850799998618
2,0.0009989726963751681,421.73241217845634,420.9921400213639,1.4805467012692768,32.101619720458984,26.736143112182617,4127.852518206559,0.8212747393782474,0.6666666666666666,0.8888888888888888,0.5333333333333333,6.059394999989308
3,0.000995895006911623,161.62669439732764,161.2967473884614,0.659894006343576,18.702425003051758,13.324934005737305,2951.39903978652,0.9227476850659229,0.8235294117647058,0.875,0.7777777777777778,5.881888300005812
4,0.0009907795784955327,87.75091362163772,87.57814337995974,0.345540723700389,18.799089431762695,13.931368827819824,2708.9262022138696,0.9385695411720274,0.8536585365853658,0.9459459459459459,0.7777777777777778,5.983755500012194
5,0.0009836474315195148,80.6108364499746,80.48289519023768,0.2558821826388602,19.380382537841797,14.536218643188477,2333.1683983827315,0.9111003285753794,0.775,0.8857142857142857,0.6888888888888889,6.003807699991739
6,0.0009745278735053344,76.91446954428234,76.80433421581276,0.22027030705666156,19.312334060668945,14.669353485107422,2208.162030534959,0.9112430258591065,0.775,0.8857142857142857,0.6888888888888889,6.0885776999930386
7,0.0009634583786730109,73.52896363648796,73.42773594815012,0.20245558339278608,19.29938316345215,14.663858413696289,2249.7843288345757,0.9107126257312989,0.7901234567901234,0.8888888888888888,0.7111111111111111,5.873029900001711
8,0.0009504844339512095,71.53396971661473,71.43830764143345,0.19132430317168792,19.475189208984375,14.68416976928711,2337.8537655565806,0.914245457393773,0.8,0.9142857142857143,0.7111111111111111,6.123037600002135
9,0.0009356593520616947,69.12403555404703,69.0328519078355,0.18236747361221972,19.714311599731445,15.030957221984863,2399.7047418842117,0.9249002190843632,0.8148148148148148,0.9166666666666666,0.7333333333333333,6.074958800003515
10,0.0009190440524459203,66.58138832291182,66.4932469137571,0.1762826885119012,19.10966682434082,14.529667854309082,2122.464400687431,0.925798850951506,0.8292682926829268,0.918918918918919,0.7555555555555555,6.217815800002427
11,0.0009007068109339783,65.01995033764075,64.93404571640826,0.1718092013800514,18.97997283935547,14.5638427734375,2042.7993527380688,0.9332972037328262,0.8433734939759037,0.9210526315789473,0.7777777777777778,6.05976639999426
12,0.0008807229791845672,63.029584992222716,62.949012598427636,0.16114478850895156,18.369304656982422,14.084646224975586,1818.9042544625222,0.9358194663466968,0.8433734939759037,0.9210526315789473,0.7777777777777778,6.312268199995742
13,0.0008591746750488638,60.137547512721895,60.06117756997942,0.1527402334227997,19.052324295043945,14.673601150512695,2039.8617844264982,0.9445039645036041,0.8292682926829268,0.918918918918919,0.7555555555555555,6.150559300003806
14,0.0008361504451306584,58.821462621934856,58.746512965562886,0.14989950116508927,18.77733039855957,14.359296798706055,2002.6254788898348,0.9372965531084747,0.8433734939759037,0.9210526315789473,0.7777777777777778,6.280322699996759
15,0.0008117449009293668,57.156698560971144,57.08178907769308,0.1498189206090161,19.40850067138672,14.764747619628906,2334.545295328512,0.9354625419465041,0.8148148148148148,0.9166666666666666,0.7333333333333333,6.0204003999970155
16,0.0007860583300610849,55.78624952916985,55.713139041878044,0.14622094155591253,19.55483627319336,14.852331161499023,2415.816886315629,0.9399730806185592,0.8148148148148148,0.9166666666666666,0.7333333333333333,6.282673599998816
17,0.0007591962841552626,53.83169232861175,53.760423679380054,0.14253729924416747,19.539596557617188,14.901769638061523,2377.3532685614214,0.9453653524498105,0.8292682926829268,0.918918918918919,0.7555555555555555,6.0094153999962145
18,0.0007312691451204176,52.15963731198195,52.08892938523809,0.14141577572297087,19.51198959350586,14.906075477600098,2363.3391258381607,0.9477841329684537,0.8292682926829268,0.918918918918919,0.7555555555555555,6.319982899993192
19,0.0007023916715611969,51.217820117178334,51.14833057446079,0.13897894827066004,19.04584312438965,14.458545684814453,2209.662295678643,0.9470480658045998,0.8292682926829268,0.918918918918919,0.7555555555555555,6.151872299989918
20,0.0006726825272106538,50.09577138058794,50.02665541429009,0.13823202844152732,19.279720306396484,14.602699279785156,2374.7878350724054,0.9475227969783204,0.8292682926829268,0.918918918918919,0.7555555555555555,6.027222899996559
21,0.0006422637933155162,48.57873121174933,48.51067174825727,0.1361189559136463,19.176841735839844,14.574947357177734,2324.912347019802,0.9494517783197441,0.8292682926829268,0.918918918918919,0.7555555555555555,6.39450609999767
22,0.0006112604669781572,47.83036500524075,47.76195930403361,0.13681139713085017,18.8959903717041,14.344496726989746,2203.928676337368,0.943294115914932,0.8292682926829268,0.918918918918919,0.7555555555555555,6.934294400009094
23,0.0005797999475166897,47.19760614476454,47.130632271230404,0.1339477209285321,19.250186920166016,14.637164115905762,2346.719150961383,0.9429978130327532,0.8292682926829268,0.918918918918919,0.7555555555555555,6.6523400000005495
24,0.0005480115129538409,45.60256660801244,45.536269913800425,0.132593278171286,19.4879150390625,14.788211822509766,2505.655946072198,0.9480389266826524,0.8292682926829268,0.918918918918919,0.7555555555555555,6.407901200000197
25,0.0005160257887858277,45.17250368261215,45.10728886518611,0.1304295988256965,19.400033950805664,14.720893859863281,2449.1466744440663,0.9448703428639774,0.8292682926829268,0.918918918918919,0.7555555555555555,6.359058300004108
26,0.0004839742112141724,44.773916152357714,44.70698542100643,0.13386160812262504,19.396156311035156,14.6815767288208,2527.005075664759,0.9465893180984477,0.8292682926829268,0.918918918918919,0.7555555555555555,6.341511100006755
27,0.0004519884870461591,43.60530579182097,43.53883268181137,0.13294630813583014,19.942163467407227,15.129076957702637,2751.2868243866974,0.9434941511861168,0.8148148148148148,0.9166666666666666,0.7333333333333333,6.263059099990642
28,0.0004202000524833105,43.13245708398162,43.06700536355013,0.13090358113280062,19.04470443725586,14.411447525024414,2284.79337802434,0.9445523522443179,0.8292682926829268,0.918918918918919,0.7555555555555555,6.251486000008299
29,0.00038873953302184284,42.25820561958562,42.19393474113801,0.12854176773263257,19.178937911987305,14.527796745300293,2330.9269339665734,0.9507962065895739,0.8292682926829268,0.918918918918919,0.7555555555555555,6.975327899999684
30,0.0003577362066844838,41.82736926696444,41.76342236633545,0.1278938622595836,19.420339584350586,14.707350730895996,2446.065078822296,0.9469528674435452,0.8148148148148148,0.9166666666666666,0.7333333333333333,6.925088500007405
31,0.0003273174727893463,41.40912762218919,41.3445287308497,0.12919771671527436,19.346555709838867,14.656386375427246,2384.1072572108023,0.9490099460866019,0.8148148148148148,0.9166666666666666,0.7333333333333333,6.253529900001013
32,0.0002976083284388031,41.06180787177536,40.99737542834864,0.1288646976216494,19.259689331054688,14.54598617553711,2355.559779521326,0.9429509828622972,0.8292682926829268,0.918918918918919,0.7555555555555555,6.040432500012685
33,0.0002687308548795825,40.47639351034934,40.4123155844573,0.1281559294264965,19.296737670898438,14.57687759399414,2401.5124848399237,0.9411013847354205,0.8292682926829268,0.918918918918919,0.7555555555555555,6.159178400004748
34,0.00024080371584473748,40.21728455315561,40.15263244033036,0.12930419200898643,19.168848037719727,14.495222091674805,2287.7160156398268,0.9453885986123407,0.8292682926829268,0.918918918918919,0.7555555555555555,6.462811200006399
35,0.0002139416699389153,40.02841021314654,39.96463733186188,0.12754583679118636,19.52341079711914,14.776472091674805,2490.5593694537374,0.9464484810278262,0.8148148148148148,0.9166666666666666,0.7333333333333333,7.499576499991235
36,0.00018825509907063325,39.57333991251995,39.508978011410974,0.1287237354409504,19.37249183654785,14.665755271911621,2391.8319117598617,0.9459351869764909,0.8148148148148148,0.9166666666666666,0.7333333333333333,7.983070700007374
37,0.00016384955486934162,39.60686508274888,39.543247482970074,0.12723515804017366,19.409875869750977,14.732260704040527,2368.785857642472,0.9468770489838209,0.8148148148148148,0.9166666666666666,0.7333333333333333,7.00135480001336
38,0.00014082532495113625,39.312084702922924,39.24941702723717,0.12533542282330473,18.92595100402832,14.299593925476074,2139.9474968962504,0.9494853055909591,0.8148148148148148,0.9166666666666666,0.7333333333333333,6.7829188000032445
39,0.0001192770208154328,39.19877290779594,39.13403441819571,0.12947706583993018,18.900665283203125,14.25661849975586,2128.3314664059717,0.9472524979104868,0.8148148148148148,0.9166666666666666,0.7333333333333333,6.8612775999936275
40,9.929318906602175e-05,39.211974691384,39.14854763436602,0.12685424245769256,19.24677085876465,14.532886505126953,2314.8245040473344,0.9449984601588883,0.8148148148148148,0.9166666666666666,0.7333333333333333,6.7376007999992
41,8.09559475540797e-05,39.31013864296911,39.24647938285574,0.12731837510192923,19.212263107299805,14.537428855895996,2281.9146492650934,0.9482305293130464,0.8148148148148148,0.9166666666666666,0.7333333333333333,6.675261900003534
