round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_nasa_score,global_test_auprc,global_test_f1,round_seconds,delta_norm_client_1,delta_norm_client_2,delta_norm_client_3,delta_norm_client_4,delta_norm_client_5,delta_norm_client_6
1,0.001,658.1395640686949,657.5163691308757,1.2463878554559766,74.22303009033203,296298.01231303514,0.7085307882116327,0.47368421052631576,2.152729833000194,4.0513348384494625,3.8528376154890176,4.1115939446766605,4.326259485906767,4.391954902098419,4.484142526016334
2,0.0009989726963751681,570.8699109834805,570.0703125684968,1.5991925905314932,63.557010650634766,108451.71833175785,0.740314712375303,0.3673469387755102,2.299523281999882,4.852051302088892,4.528285199203442,5.039424982723315,5.45615940832484,5.255203209635214,5.39906261088981
3,0.000995895006911623,470.8918009820065,470.0966327643862,1.5903351174626756,49.841243743896484,26240.296768098884,0.8067191223885256,0.5882352941176471,2.548681640000268,5.5777945674124085,5.136100380036039,5.705150958217446,6.370337629938013,5.935712866436136,6.182370141842689
4,0.0009907795784955327,340.47355809284903,339.83797892363367,1.271157174992956,33.95518112182617,4893.8450253205265,0.8508422986344446,0.6268656716417911,2.3411604739999348,4.8450386934268606,4.565298384134551,4.884460608402978,5.500773588147148,5.166828988056343,4.924425530189952
5,0.0009836474315195148,218.70301274643666,218.17309683859537,1.0598324658430098,21.219636917114258,2198.9273646936235,0.9223061852285889,0.775,2.167946545000177,3.6035550941590135,3.285639908775991,3.312914393888865,4.502921219832548,3.6597950446730403,3.119612087165634
6,0.0009745278735053344,131.18232389773513,130.76821928815585,0.8282085879349336,17.65370750427246,1700.26438759879,0.9548844293144414,0.8705882352941177,2.2479135590001533,2.8890975950211653,2.4141262914984485,2.8204317810152695,3.9737145348903042,2.9940091068317716,2.48306515947415
7,0.0009634583786730109,105.06090038110771,104.75623590710518,0.6093288221188807,17.682933807373047,1282.5125854049513,0.9544766765442028,0.8292682926829268,2.2940595400000348,1.6171100000729788,1.5344605664696367,1.545017768562502,3.21178301539062,1.7492275201260028,1.6631456871131163
8,0.0009504844339512095,98.41712386156462,98.13475599397691,0.564735286390141,18.323081970214844,1487.188781755564,0.9497216949275264,0.7948717948717948,2.2125989000001027,1.326895764239166,1.0224154410600426,1.0949662063077101,2.945907257675747,1.4845278133321802,1.2188276987509876
9,0.0009356593520616947,95.83054064736912,95.53540846285104,0.5902644421126017,18.47489356994629,1279.9900754696132,0.9460187534699072,0.7848101265822784,2.107803813999908,1.0796157303086367,0.9382159161493534,1.0545437139794693,2.979190297214532,1.4775078488603344,1.2385683223645882
10,0.0009190440524459203,94.50752429508846,94.20281039677207,0.609427549876313,18.210796356201172,1260.9782574418502,0.94153472081449,0.8,2.199653591000242,1.0863566722180908,1.0793399328509854,0.9830608967683948,2.7641809813076024,1.3152048603498605,1.1577883842581014
11,0.0009007068109339783,93.75752589665206,93.44784720360725,0.6193574698134187,18.743061065673828,1411.0868754070823,0.9381890264122579,0.7692307692307693,2.331265105000057,1.164200906504318,1.0129292770408918,0.9833023676111488,2.6964468369006513,1.1563301567307904,1.0972923797309755
12,0.0008807229791845672,92.20107084377418,91.89317155973765,0.6157982005764936,18.328472137451172,1142.3507134260717,0.9355807648474321,0.8192771084337349,2.203210449999915,1.0298649698100608,0.9876977597251037,0.9218821353035664,2.6059977183012175,1.1274487515028742,1.152350649196209
13,0.0008591746750488638,90.21443584619432,89.91538448812571,0.5981027000719704,18.53580093383789,1305.5538718720338,0.9329911345900229,0.7848101265822784,2.1615680100003374,0.9061922519817797,0.8184006072965878,0.9935443005325677,2.6695780306724246,1.1122290719014774,0.9910733746530148
14,0.0008361504451306584,90.52376926429413,90.19664507961117,0.6542487190866323,18.495174407958984,1224.910856673364,0.9360721668995131,0.8048780487804879,2.1371202350001113,0.8201449226863327,0.7685862164962358,0.8088552775385,2.4825852531651895,1.1003653727431908,1.051561523607787
15,0.0008117449009293668,89.01984552195331,88.69719241629197,0.6453056009239658,18.11688232421875,1105.5751666117396,0.925761976938685,0.8372093023255814,2.349922599000365,1.014514296564586,0.8682271868187023,0.8219853992556106,2.460631988000493,0.9875626875240548,0.9883774474204953
16,0.0007860583300610849,87.0202372963309,86.70493566305943,0.6306039095351098,18.620689392089844,1233.5990216966911,0.930376293734198,0.7951807228915663,2.290795689999868,0.8066817553407319,0.9710369539711415,0.802827973728309,2.446487401734313,1.0849369974700598,0.8918279087404961
17,0.0007591962841552626,86.28371349201741,85.96469878096065,0.6380289760235996,18.348676681518555,1241.1426468696982,0.9345876883839762,0.8333333333333334,2.2372869450000508,0.7650838306860727,0.7860990508556116,0.7413187097008973,2.3513158619599044,0.96304746238337,0.807534539863669
18,0.0007312691451204177,85.63700314203693,85.29934153284255,0.6753230899292325,18.139049530029297,1101.530128391072,0.9313194034915943,0.8372093023255814,2.1495485719997305,0.7526750766943022,0.6736904332187822,0.9427102897839439,2.242699160809848,0.9235797660268121,0.9842882515706131
19,0.0007023916715611969,83.72931843032296,83.40610116019225,0.646434667139372,18.117341995239258,1075.9996886287454,0.9331962057664706,0.8372093023255814,2.378351081999881,0.7021521884453178,0.7439362513085189,0.7173549025105516,2.2129800297185085,0.8787389159036229,0.8141659980407685
20,0.0006726825272106538,84.146339178845,83.80943004363,0.673818463938328,18.26791000366211,1121.9652095844397,0.9300869571566741,0.8372093023255814,2.201067749000231,0.7806119265661218,0.7240223569005351,0.6806970861460504,2.0628501522666447,0.8996859867732742,0.7199216520277938
21,0.0006422637933155162,82.37106101926805,82.0377640258216,0.6665946347693008,18.228254318237305,1083.2971217057939,0.934333991333525,0.8505747126436781,2.110411480000039,0.621749804759108,0.8062237619423764,0.7000641514636522,2.0218513829691704,0.8721243454971546,0.7910332887309338
22,0.0006112604669781572,82.22749774107537,81.88707488542686,0.6808458099478258,17.951459884643555,1058.9760665725273,0.9308311509577087,0.8372093023255814,2.116864760000226,0.629203136490248,0.7171491151350626,0.6194912059612754,1.8659800836556104,0.8361820124459488,0.6744315503558702
23,0.0005797999475166897,81.3932315481659,81.03578956045403,0.714884343851391,17.715578079223633,1036.6077790808379,0.9364280128919564,0.8505747126436781,2.3053509759997723,0.613625992379383,0.6542325090570069,0.5959765191086857,1.7873311299530317,0.773858648089666,0.670812596004313
24,0.0005480115129538409,80.99257428799312,80.62830697512958,0.7285346178811264,17.919450759887695,1000.0570293942849,0.9337453588762036,0.8505747126436781,2.27242502099989,0.725416187462684,0.5365440707995407,0.5617826522928893,1.737107113805265,0.7486395476918509,0.6174013897135191
25,0.0005160257887858277,80.47126536708525,80.1117099276265,0.7191110314859692,17.740598678588867,998.3791935706204,0.939285010263906,0.8505747126436781,2.1712092559996563,0.527788838367029,0.5512818629147078,0.555157739568909,1.6785289652005102,0.6772963032022404,0.54986884833376
26,0.0004839742112141724,80.29868338341801,79.90757519925067,0.7822162823706983,17.888261795043945,992.681346375632,0.9307373204813627,0.8505747126436781,2.208434962999945,0.6242287393976803,0.5595169102847654,0.49230276061077705,1.6056776104107462,0.6201303839174233,0.5883292565013186
27,0.0004519884870461591,80.92584332189058,80.53928660524038,0.773113273212969,17.443607330322266,994.5826381390187,0.9385273118761843,0.8505747126436781,2.2708614430002854,0.47370968337272584,0.503344810821526,0.4827760912567032,1.5053437121327577,0.5791869296504553,0.46752236738799885
28,0.0004202000524833105,81.70255635880899,81.27311028762777,0.858892501770193,17.316823959350586,1000.5455647508772,0.9428278988741933,0.8505747126436781,2.256829357999777,0.5843135441117824,0.46640281483176377,0.45027989446098843,1.422560192272688,0.5885610546276365,0.47378084110235547
