round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_mae,global_test_nasa_score,global_test_auprc,global_test_f1,global_test_precision,global_test_recall,round_seconds
1,0.001,688.3746117485894,687.6700286865234,1.4091660347249773,73.04290008544922,61.81208801269531,121114.25446741145,0.8740155784263001,0.4,0.25,1.0,5.301315700002306
2,0.0009989726963751681,595.9519445631239,595.1637566884358,1.5763748445444636,64.40780639648438,54.027896881103516,53534.85131636268,0.8388777824269422,0.4,0.25,1.0,3.0946258999974816
3,0.000995895006911623,510.44587983025446,509.58310953776044,1.7255371138453484,54.07498550415039,46.00389099121094,18713.080002001578,0.8331941051726157,0.8148148148148148,0.7586206896551724,0.88,3.2573445000016363
4,0.0009907795784955327,399.42158042060004,398.74643283420136,1.3502957787778642,40.92215347290039,33.2942008972168,4905.199634799449,0.8256104492417591,0.7727272727272727,0.8947368421052632,0.68,3.1143136999962735
5,0.0009836474315195148,274.15768475002716,273.64389408959283,1.0275791742735438,28.064245223999023,22.442821502685547,1617.9074591012268,0.8700497848389894,0.7727272727272727,0.8947368421052632,0.68,3.207615400002396
6,0.0009745278735053344,175.33772828843857,174.97473939259845,0.7259790228886737,19.268455505371094,14.318808555603027,1401.74286047602,0.8791441021475347,0.8260869565217391,0.9047619047619048,0.76,3.0159436000030837
7,0.0009634583786730109,109.48296939002142,109.2217385503981,0.5224617953515714,16.632694244384766,11.529580116271973,808.5930628418461,0.9087573673366514,0.851063829787234,0.9090909090909091,0.8,3.1635430000023916
8,0.0009504844339512095,91.74259270562067,91.54525942272609,0.3946657560558783,15.416218757629395,10.769810676574707,564.6643748596701,0.9442241155945814,0.88,0.88,0.88,3.210315600001195
9,0.0009356593520616947,85.49656520949469,85.33769355879889,0.3177433038751284,14.632264137268066,10.386039733886719,419.5244979186709,0.9550170204408596,0.9230769230769231,0.8888888888888888,0.96,3.031033999999636
10,0.0009190440524459203,81.32555786768594,81.18584296438428,0.27942902667240965,14.528719902038574,10.241724967956543,391.89538799633783,0.9656768495006887,0.9433962264150944,0.8928571428571429,1.0,3.0450934000036796
11,0.0009007068109339783,77.05892446306017,76.92880098025003,0.26024632280071575,14.162930488586426,10.141064643859863,349.6773236558598,0.9653395217720566,0.9615384615384616,0.9259259259259259,1.0,3.219596000002639
12,0.0008807229791845672,76.159952322642,76.03455148802863,0.25080172976271975,14.26964282989502,10.049479484558105,356.3692250838174,0.9653395217720566,0.9433962264150944,0.8928571428571429,1.0,3.1064363999976194
13,0.0008591746750488638,73.74607491493225,73.630403386222,0.2313432503077719,14.38837718963623,10.18154525756836,368.03232792879,0.9653395217720566,0.9433962264150944,0.8928571428571429,1.0,3.04535109999415
14,0.0008361504451306584,72.81934799088373,72.70547080039978,0.22775458497926593,14.41299819946289,10.33591079711914,370.93918993817465,0.9739846707407349,0.9615384615384616,0.9259259259259259,1.0,3.049537999999302
15,0.0008117449009293668,69.54706144332886,69.43963143560622,0.21485965435082716,14.2964448928833,10.231307029724121,355.0764919679402,0.97737635152372,0.9615384615384616,0.9259259259259259,1.0,3.1847108000001754
16,0.0007860583300610849,66.39169303576152,66.2833854092492,0.21661519466174972,14.489059448242188,10.435131072998047,377.7281489717521,0.9757162724723366,0.9615384615384616,0.9259259259259259,1.0,3.0152713999996195
17,0.0007591962841552626,67.0033974117703,66.89644114176431,0.21391265906600487,14.454854011535645,10.388309478759766,367.65627927983707,0.9757162724723366,0.9615384615384616,0.9259259259259259,1.0,3.1478793999995105
18,0.0007312691451204176,64.8338020907508,64.73028503523932,0.20703406787166992,14.501975059509277,10.50802230834961,372.18281623964344,0.9779384946945588,0.9615384615384616,0.9259259259259259,1.0,3.051932199996372
19,0.0007023916715611969,63.653414222929214,63.55155785878499,0.20371252872670692,14.425832748413086,10.39232063293457,359.54103268484084,0.9800437578524536,0.9615384615384616,0.9259259259259259,1.0,2.98504800000228
20,0.0006726825272106538,62.69733288553026,62.59561064508226,0.20344449802198344,14.737613677978516,10.63589859008789,403.996498919714,0.9800437578524536,0.9615384615384616,0.9259259259259259,1.0,2.896785600001749
21,0.0006422637933155162,60.99709079000685,60.89711920420329,0.19994328947116932,14.738162994384766,10.722748756408691,397.1285329198352,0.9800437578524536,0.9411764705882353,0.9230769230769231,0.96,3.0990965999953914
22,0.0006112604669781572,60.11991710133023,60.023502800199715,0.19282871314014,14.622420310974121,10.672560691833496,374.9052055877584,0.9757162724723366,0.9615384615384616,0.9259259259259259,1.0,2.952208199996676
23,0.0005797999475166897,58.17974827024672,58.086535983615455,0.18642434793420962,14.74972152709961,10.702244758605957,391.37089111268523,0.9757162724723366,0.9411764705882353,0.9230769230769231,0.96,3.12016980000044
24,0.0005480115129538409,57.55201527807448,57.45508400599162,0.19386240674389735,15.034812927246094,10.915578842163086,427.5071829641106,0.9800437578524536,0.9411764705882353,0.9230769230769231,0.96,3.0199828000040725
