round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,macro_rmse,macro_nasa_score,macro_auprc,macro_f1,round_seconds
1,0.001,787.5507642524187,786.8367587523603,1.428013583725671,74.8441333770752,156433.01676531025,0.6536614534518398,0.0,8.315731699985918
2,0.0009989726963751681,694.0744939455558,693.3347834691654,1.479420055647031,66.87069129943848,74673.96683405238,0.6399795254255501,0.08333333333333333,6.130895499984035
3,0.000995895006911623,604.4302908609079,603.692890529696,1.4748014360963309,57.13507652282715,28340.488959279595,0.6403414083609081,0.4161458333333333,5.9300573999935295
4,0.0009907795784955327,497.7073449600574,497.0045663472426,1.4055568174666344,45.6638069152832,8385.800239638227,0.6987035597314948,0.5368716577540107,6.136045799998101
5,0.0009836474315195148,370.4693117997179,369.8122677292934,1.3140873504784019,34.19008731842041,2819.062956704249,0.7989611210309475,0.577511043943269,6.204849400004605
6,0.0009745278735053344,248.90014749317865,248.36980116327737,1.060692472899475,22.639328956604004,1056.9396670567921,0.9040648522173209,0.8367840401376987,6.710245800000848
7,0.0009634583786730109,150.55791821463959,150.226846968692,0.6621435952691541,19.252078533172607,1421.6114492294582,0.9188799023155356,0.8372014260249555,5.924321200000122
8,0.0009504844339512095,121.42684150074803,121.21718210302714,0.4193186472915732,18.087284088134766,1112.3824459068135,0.9506413018567113,0.8551282051282051,6.1862127000058535
9,0.0009356593520616947,115.43967625437384,115.26055329915297,0.3582463324379387,18.283080101013184,1175.410614820686,0.9670468118774496,0.8750380295230793,5.38653030002024
10,0.0009190440524459203,113.18596856063387,113.02864218993835,0.31465257255490436,17.38531732559204,895.7627575317576,0.9722003207973933,0.9094442791251302,5.402584299998125
11,0.0009007068109339783,111.79704201688799,111.65952363853835,0.2750366390036091,17.428423404693604,890.0828154333851,0.9741163508457762,0.9126375496313104,5.137990699993679
12,0.0008807229791845672,111.54437484614476,111.41123177379468,0.26628593345639917,17.773024082183838,964.3696327175664,0.9737612047735249,0.9124148263956746,5.402671000018017
13,0.0008591746750488638,111.35423420972603,111.22688948704159,0.2546890804803995,17.784958124160767,1005.6135604736373,0.972400255050733,0.9278899395178466,5.007643000019016
14,0.0008361504451306584,109.83058935558282,109.70352993930297,0.2541186761927862,17.268080711364746,744.3006697665218,0.9744712926875602,0.9140696260261477,5.249836499977391
15,0.0008117449009293668,109.93534371163759,109.81470657868243,0.24127402838777465,17.860290050506592,968.7557755197608,0.9692346275788397,0.9110306629742084,5.135517499991693
16,0.0007860583300610849,110.799147923365,110.67433669068093,0.24962203895666965,18.01766848564148,980.1408721601431,0.9666635780567031,0.9278899395178466,6.983727599988924
17,0.0007591962841552626,110.33659608657179,110.21631537656054,0.24056102794369194,18.50282120704651,1071.1620858444762,0.9640638274158739,0.8986645020279147,5.268909700011136
18,0.0007312691451204176,112.39995307922365,112.2828726388291,0.2341605763628683,18.184741735458374,883.9905238277787,0.9649662287099331,0.9026004304160689,5.29766079998808
19,0.0007023916715611969,112.39755391187447,112.27428371169638,0.24654033995199442,18.537951707839966,998.0486551514828,0.9621039883419047,0.9093406593406593,5.345778499991866
20,0.0006726825272106538,111.84715125568682,111.72847605005056,0.23735003964882653,18.887105703353882,992.3554191725153,0.9641842253054578,0.8926470458485714,5.369911499990849
21,0.0006422637933155162,115.08776378948426,114.96426112026076,0.24700532109906703,19.741103649139404,1637.200194620391,0.9639197551139069,0.8907980520771219,5.621359899989329
22,0.0006112604669781572,110.78694488899256,110.67001675228741,0.23385610172426038,19.194183111190796,1286.6595869113246,0.9587686324521987,0.8971826046294131,5.436989799985895
23,0.0005797999475166897,111.29576831988719,111.1765039697438,0.23852884549635195,19.113999128341675,1313.1627104452332,0.9616701687514836,0.8937979094076656,5.383551800012356
24,0.0005480115129538409,110.83939064317367,110.71595890894285,0.24686354117350423,18.834825038909912,969.3325458981165,0.9593206509076866,0.9113925370022932,5.04802539999946
25,0.0005160257887858277,114.71354410133488,114.5876811575652,0.25172645629219637,19.263489246368408,1170.6490499975657,0.9593119695826755,0.8973063127690101,5.451443300000392
