round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_nasa_score,global_test_auprc,global_test_f1,round_seconds,delta_norm_client_1,delta_norm_client_2,delta_norm_client_3,delta_norm_client_4,delta_norm_client_5,delta_norm_client_6
1,0.001,626.9076969482333,626.2003924965088,1.41460941971368,68.35963439941406,171987.81390885357,0.813746564673316,0.3673469387755102,2.309486034000088,3.9765342977009825,4.260994715221094,4.14841850618029,4.152927997412111,4.712104384854974,4.278630759753245
2,0.0009989726963751681,508.1556991483676,507.2600467485456,1.7913039923053662,54.484745025634766,42440.03808013756,0.7710000098304766,0.5769230769230769,2.2460102679999636,4.272799808791806,4.709660528153244,4.574743929535691,5.488804169148601,5.792769170344182,5.013861637495678
3,0.000995895006911623,382.11337862794545,381.3773700000834,1.4720149930467967,36.79057693481445,6522.667041808951,0.7865523377925796,0.7073170731707317,2.127465529999995,5.325125645665788,5.7496664462772795,5.574370054061168,6.289648806599339,6.186696305551357,5.715214026567124
4,0.0009907795784955327,242.75174062780323,241.94643906093575,1.6106035088040607,22.891691207885742,3339.535050052503,0.8729764262396773,0.7692307692307693,2.0949237840000023,3.2732918163437543,3.6395774680433814,3.5056138575099163,5.267213835689258,3.712031799267482,3.633654232603637
5,0.0009836474315195148,149.48144923865195,148.6222043862197,1.7184899634166992,20.95707893371582,3473.3367509895197,0.916067006466276,0.7948717948717948,2.3432152479999786,2.8333744280792894,3.384892921794603,3.1835680106847533,4.719715533958695,2.8547376148618735,3.5101400302778027
6,0.0009745278735053344,112.56553074597912,111.96556749565815,1.1999268659367694,19.1409912109375,1956.999648657347,0.931590044982977,0.7567567567567568,2.1791180139999824,1.6306172338731717,2.0310550546330957,1.9470276149355044,3.1279953971419525,1.9123846511192792,2.4569096390635403
7,0.0009634583786730109,98.80669002734966,98.38225229732232,0.8488757377379886,21.962703704833984,3976.847007621469,0.8942949025914553,0.676056338028169,2.1859408450000046,1.4293499393921982,1.4399306829648895,1.44729176768566,2.5722993572569104,1.5461111003238164,1.8224762245874369
8,0.0009504844339512095,94.92423256850084,94.52182883939759,0.8048073264476491,23.15400505065918,7501.22973874646,0.8581433391648934,0.7792207792207793,2.2137706060000255,1.225877705336583,1.1832840817163413,1.2374862738280352,2.616849950795002,1.3412157276422734,1.561577582318103
9,0.0009356593520616947,92.43667266806774,92.07571418859793,0.721917628802954,22.652376174926758,5990.708166803419,0.8514191398486778,0.7848101265822784,2.264622228999997,0.980659822487708,1.040232794556455,0.9154807113019153,2.5101436785852127,1.268214635240605,1.2173390084162627
10,0.0009190440524459203,88.91619609962201,88.61904986240393,0.5942927336847911,22.70083236694336,6330.848220429598,0.851805361740704,0.7848101265822784,2.228157511999939,0.9232452427642258,1.0171849289214467,0.8171008439849817,2.3460516829290343,1.2848833023381874,1.2574377557476724
11,0.0009007068109339783,87.13400065682009,86.8252413012657,0.6175178816814141,22.615680694580078,5593.245739287452,0.8519249163644559,0.7848101265822784,2.1779394440000033,0.9420523694444416,0.9197376836965078,0.8088783582491736,2.342375487661301,1.2024514313461416,1.135882627927362
12,0.0008807229791845672,84.47486184229201,84.18560614301425,0.5785115893768399,23.055688858032227,7368.129355548933,0.8511884533229931,0.7848101265822784,2.251801169000032,1.150982415490865,0.9665064564573342,0.7881070890586189,2.2371690584131594,1.1508979212609922,1.1271002159306795
13,0.0008591746750488638,83.7066422581439,83.40216493858856,0.608955207291165,23.257211685180664,7939.782864012886,0.8521103303446191,0.7848101265822784,2.286885818999963,0.8484367899058021,0.9850387570081616,0.8000515412467383,2.1544524663853615,1.1207748469999375,1.0818768242696548
14,0.0008361504451306584,82.31780272587675,82.00741989588664,0.620765231135702,23.686880111694336,8632.026821113348,0.8438090257675366,0.7848101265822784,2.221623803000057,1.0126344655200579,0.7991846470490057,0.8152808162303049,2.055654935829571,1.1340536847580331,1.125498781295504
15,0.0008117449009293668,80.6169706570138,80.33072205417176,0.5724968815179713,23.585208892822266,9261.529578116717,0.847006240783753,0.7692307692307693,2.220576829000038,1.0453228879870808,0.8236465475332239,0.7061078657138323,1.965110255105449,1.1316462484189822,1.021751238142454
16,0.0007860583300610849,80.77178243123018,80.46207166031475,0.6194214217798184,23.37799072265625,8105.75441084436,0.8507850712776903,0.7848101265822784,2.312157275000004,0.7695150589610387,0.7363030471205317,0.7801408768317822,1.9193157377427605,1.0009245535851228,1.0030035052028
