client_id,n_engines,n_train_windows,pos_weight,best_epoch,rmse,mae,nasa_score,auprc,f1,precision,recall,train_seconds
client_1,25,4434,4.721,20,15.9408,11.0885,529.6545,0.9631,0.9231,0.8889,0.96,19.858
client_2,25,4438,4.726,28,15.1687,11.4273,385.1895,0.9796,0.96,0.96,0.96,19.577
client_3,25,4413,4.694,18,16.3205,11.8093,741.7746,0.9491,0.898,0.9167,0.88,19.834
client_4,25,4446,4.737,15,16.3748,12.6434,451.3375,0.9722,0.875,0.913,0.84,20.079
