round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,macro_rmse,macro_nasa_score,macro_auprc,macro_f1,round_seconds
1,0.001,785.2534207097018,784.5595153042132,1.387812830344598,76.33884811401367,179259.1766018285,0.5166597672041805,0.3666666666666667,6.251017400005367
2,0.0009989726963751681,709.8332687551956,709.0896365120798,1.4872668805323137,70.4620984395345,104755.65792747546,0.5870986706202195,0.0,4.871773299993947
3,0.000995895006911623,647.5093358313355,646.7759140696684,1.4668449576283382,64.41452980041504,58948.17147052673,0.6069972786918004,0.0,4.8872254000161774
4,0.0009907795784955327,584.6430392358711,583.8471958574361,1.5916860777224875,57.59589195251465,29614.896859851986,0.607605636983449,0.4847070506454816,5.181141399953049
5,0.0009836474315195148,515.488863832017,514.7308051773534,1.5161153819682385,50.271596908569336,13387.637294423183,0.6243403027305068,0.5555767570185969,5.525017999985721
6,0.0009745278735053344,434.4558590179911,433.82615405247225,1.2594086985860196,41.76880645751953,5455.181621716304,0.6729268414975366,0.5601838865513481,4.763044700026512
7,0.0009634583786730109,340.70549792262295,340.14044978109854,1.1300974491075177,35.05819892883301,4782.926727257948,0.7157858634596802,0.531231269409727,4.808862100006081
8,0.0009504844339512095,260.651592050298,260.12233399671254,1.0585177963884627,30.280361811319988,7659.458672991576,0.7042656503471162,0.5630134868203217,4.6624118000036106
9,0.0009356593520616947,192.943411433444,192.50389064953492,0.8790412850446007,25.17628542582194,3874.4118118837396,0.753233564928487,0.7289941972920696,4.871422199998051
10,0.0009190440524459203,145.27324397070598,144.96498105311446,0.6165262652581924,24.332775433858234,5880.810111401697,0.7795235698105668,0.7552472420112203,4.644458600028884
11,0.0009007068109339783,132.32554904840336,132.0733057238119,0.5044868720901229,21.926480611165363,2333.0779056223314,0.8313906480246859,0.786000168520391,4.7476644000271335
12,0.0008807229791845672,118.93816666124218,118.72738495692796,0.42156344047428157,20.57732359568278,1584.1207906207999,0.8828296967608886,0.8014762507540966,4.978931699995883
13,0.0008591746750488638,114.78222273851019,114.584958482057,0.39452887542762066,20.424959182739258,1481.6543361038002,0.9022511174754584,0.8153671067561041,4.861631500010844
14,0.0008361504451306584,111.94811783917375,111.76338427598948,0.36946791047048627,20.651072820027668,1589.9250609340224,0.9183475403531007,0.8500388225106238,4.593027499970049
