round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,macro_rmse,macro_nasa_score,macro_auprc,macro_f1,round_seconds,client_1_rmse,client_1_f1,client_2_rmse,client_2_f1,client_3_rmse,client_3_f1,client_4_rmse,client_4_f1
1,0.001,752.5469477615077,751.8178134334607,1.458269542839148,71.8799991607666,119324.12794858722,0.8131923047134254,0.36666666666666664,7.939596600001096,72.70065307617188,0.4,72.6955795288086,0.4,70.80095672607422,0.3333333333333333,71.32280731201172,0.3333333333333333
2,0.0009989726963751681,632.0634642860782,631.2375069891818,1.6519149921292704,62.14788055419922,47179.54745872934,0.8394826041591212,0.6537772263578715,5.686245999997482,63.49567794799805,0.5555555555555556,63.48955154418945,0.7692307692307693,60.03085708618164,0.6451612903225806,61.575435638427734,0.6451612903225806
3,0.000995895006911623,527.3619272935623,526.4811776977663,1.7614988372901645,49.752586364746094,13316.073513979543,0.8421973287056348,0.7479390299648492,5.614166400002432,51.71576690673828,0.7719298245614035,51.72885513305664,0.8301886792452831,46.44799041748047,0.6349206349206349,49.117733001708984,0.7547169811320755
4,0.0009907795784955327,393.035624189825,392.3574901557323,1.3562665659094923,34.96663284301758,2791.2726055172493,0.8691251852152531,0.735797827903091,5.666508999995131,37.44121170043945,0.7142857142857143,37.61894989013672,0.7142857142857143,30.389434814453125,0.7368421052631579,34.416934967041016,0.7777777777777778
5,0.0009836474315195148,248.55027638168463,248.01637420669164,1.0678041812955437,23.661752223968506,1655.1918031055377,0.8906439911380701,0.80938995215311,5.307847699994454,24.32180404663086,0.7727272727272727,24.795581817626953,0.7727272727272727,21.699853897094727,0.85,23.829769134521484,0.8421052631578947
6,0.0009745278735053344,144.99105039622867,144.6030321781526,0.7760365642808704,20.181453704833984,2108.298893410505,0.8889998237124807,0.8113636363636364,5.5443505000002915,17.93848419189453,0.7727272727272727,18.59389877319336,0.7727272727272727,22.5245361328125,0.85,21.668895721435547,0.85
7,0.0009634583786730109,111.46720829285015,111.16758731874447,0.5992419779980074,17.67553997039795,1066.6495890032857,0.8968021593796176,0.8619646753955265,5.229436900001019,16.408143997192383,0.875,16.869787216186523,0.851063829787234,18.13156509399414,0.85,19.29266357421875,0.8717948717948718
8,0.0009504844339512095,98.92040759632086,98.69265871292507,0.4554975211691463,17.1022047996521,1003.9637582809404,0.9348531781729998,0.8564688144105438,5.601570499995432,16.173240661621094,0.875,16.38628578186035,0.8979591836734694,17.79998016357422,0.8108108108108109,18.049312591552734,0.8421052631578947
9,0.0009356593520616947,92.4426965274087,92.264425133949,0.3565426970425508,16.96214723587036,949.4113364435572,0.9526109781967647,0.8764505802320929,5.319014499997138,16.170970916748047,0.9411764705882353,16.099164962768555,0.8979591836734694,18.075952529907227,0.8333333333333334,17.502500534057617,0.8333333333333334
10,0.0009190440524459203,88.60447847467267,88.44606710209794,0.31682249160342524,16.401546001434326,805.3455612710212,0.9577467690919235,0.9094766424393397,5.322653800001717,16.244157791137695,0.9615384615384616,15.760671615600586,0.9411764705882353,17.171289443969727,0.8780487804878049,16.430065155029297,0.8571428571428571
11,0.0009007068109339783,85.52781621860738,85.39165319413465,0.2723259361426981,16.608223915100098,840.5525812458499,0.9583700128072723,0.9005863039399625,5.331627500003378,16.355968475341797,0.9615384615384616,16.28520965576172,0.9615384615384616,17.215869903564453,0.8292682926829268,16.575847625732422,0.85
12,0.0008807229791845672,83.59822252095327,83.47136008245762,0.2537248483611855,16.058231830596924,713.2203604878022,0.9595923816299702,0.9159851776130845,5.363884999998845,15.639486312866211,0.9615384615384616,15.397045135498047,0.9615384615384616,16.940824508666992,0.8571428571428571,16.255571365356445,0.8837209302325582
13,0.0008591746750488638,81.84071402252812,81.72209075801825,0.23724627131400958,16.02526021003723,712.1477543041061,0.964118164723688,0.9176085542364611,5.437995200001751,15.402200698852539,0.9615384615384616,15.519341468811035,0.9615384615384616,16.90802001953125,0.8636363636363636,16.2714786529541,0.8837209302325582
14,0.0008361504451306584,79.7081773365643,79.5961805382426,0.22399400473612163,15.988032579421997,685.8085391211782,0.9640802290942907,0.9176085542364611,5.27671410000039,15.543851852416992,0.9615384615384616,15.570490837097168,0.9615384615384616,16.77482795715332,0.8636363636363636,16.062959671020508,0.8837209302325582
15,0.0008117449009293668,78.64485152801788,78.53572950739247,0.21824412434339735,15.826761245727539,655.5072514098551,0.9646229433562555,0.9176085542364611,5.6269522000002326,15.209619522094727,0.9615384615384616,15.30836296081543,0.9615384615384616,16.599651336669922,0.8636363636363636,16.189411163330078,0.8837209302325582
16,0.0007860583300610849,76.87642819051034,76.7757783694814,0.201299682709913,15.714717149734497,626.1053146966291,0.9669922097537728,0.9159851776130845,5.443197699998564,15.266221046447754,0.9615384615384616,15.018598556518555,0.9615384615384616,16.739913940429688,0.8571428571428571,15.834135055541992,0.8837209302325582
17,0.0007591962841552626,75.97426866343031,75.8717684864933,0.20500018777975085,15.669688701629639,627.6015316229639,0.9661976191104978,0.9026989350518763,5.52315809999709,15.356473922729492,0.9411764705882353,15.26716423034668,0.9615384615384616,16.28055191040039,0.8636363636363636,15.774564743041992,0.8444444444444444
18,0.0007312691451204176,74.76371399558592,74.66493442273179,0.19755955785334367,15.655267477035522,624.9872436930242,0.9703487629013474,0.9176085542364611,5.141300499999488,15.118246078491211,0.9615384615384616,15.090683937072754,0.9615384615384616,16.578805923461914,0.8636363636363636,15.833333969116211,0.8837209302325582
19,0.0007023916715611969,73.84338475477759,73.74194345484648,0.20288271779147585,15.576374530792236,616.9387674019015,0.9690510332831844,0.9077894327894328,5.890012299998489,15.005317687988281,0.9615384615384616,15.049583435058594,0.9615384615384616,16.511943817138672,0.8636363636363636,15.738653182983398,0.8444444444444444
20,0.0006726825272106538,72.55080152828522,72.4539781201853,0.19364686599884634,15.665211200714111,634.20700541577,0.9697454777276289,0.9077894327894328,5.42582350000157,15.006965637207031,0.9615384615384616,15.133649826049805,0.9615384615384616,16.738019943237305,0.8636363636363636,15.782209396362305,0.8444444444444444
21,0.0006422637933155162,71.25081658872102,71.15667901331595,0.1882746803438605,15.53046464920044,606.6863058894824,0.9702811920133432,0.9077894327894328,5.337258799998381,15.008513450622559,0.9615384615384616,14.741378784179688,0.9615384615384616,16.561195373535156,0.8636363636363636,15.810770988464355,0.8444444444444444
22,0.0006112604669781572,70.57482235080296,70.48163241720954,0.18637992481321247,15.413569688796997,566.5723645438283,0.9714101284363973,0.9077894327894328,5.2358081999991555,15.062252044677734,0.9615384615384616,14.775167465209961,0.9615384615384616,16.295087814331055,0.8636363636363636,15.521771430969238,0.8444444444444444
23,0.0005797999475166897,69.48345928907897,69.39259968692892,0.1817189699855068,15.713411569595337,635.9521460146685,0.9692729184241872,0.9125874125874126,5.237020900000061,15.348506927490234,0.9615384615384616,15.323921203613281,0.9615384615384616,16.490568161010742,0.8636363636363636,15.69064998626709,0.8636363636363636
24,0.0005480115129538409,69.20656725896342,69.11685051806913,0.17943359725643274,15.678672313690186,635.4717864691876,0.9715145641162806,0.9176085542364611,5.408076599997003,15.307963371276855,0.9615384615384616,15.294228553771973,0.9615384615384616,16.488800048828125,0.8636363636363636,15.623697280883789,0.8837209302325582
25,0.0005160257887858277,68.37858126093059,68.28879876842504,0.17956536904489256,15.47664213180542,601.7078036314549,0.9710855814837711,0.9032000608087565,5.308902199998556,14.924731254577637,0.9615384615384616,14.74300765991211,0.9615384615384616,16.56198501586914,0.8636363636363636,15.676844596862793,0.8260869565217391
26,0.0004839742112141724,66.97333613111692,66.88536927100049,0.1759337498383689,15.520573616027832,602.6399014333454,0.9717335507826357,0.9077894327894328,5.488058700000693,14.864884376525879,0.9615384615384616,15.0253324508667,0.9615384615384616,16.396488189697266,0.8636363636363636,15.795589447021484,0.8444444444444444
27,0.0004519884870461591,66.54379438753762,66.4553470423528,0.17689482190776662,15.392799377441406,583.091680586742,0.9752001177124379,0.9032000608087565,5.206828099995619,14.694292068481445,0.9615384615384616,14.415735244750977,0.9615384615384616,16.504154205322266,0.8636363636363636,15.957015991210938,0.8260869565217391
28,0.0004202000524833105,65.49418896166051,65.40404394869404,0.1802898785198827,15.092140674591064,514.5535255509703,0.9724488237165785,0.9046462993271503,5.524878600001102,14.688509941101074,0.9615384615384616,14.323439598083496,0.9615384615384616,16.01163101196289,0.8444444444444444,15.344982147216797,0.851063829787234
29,0.00038873953302184284,65.01876507465433,64.92918620285337,0.17915814667453828,15.432792663574219,588.167069879657,0.9729181913055114,0.9077894327894328,5.0736926999961725,15.122095108032227,0.9615384615384616,14.891230583190918,0.9615384615384616,16.206605911254883,0.8636363636363636,15.511239051818848,0.8444444444444444
30,0.0003577362066844838,64.3691123196698,64.28053163770447,0.17716130758308712,15.237736463546753,561.3792508236223,0.9742968116531721,0.9082212024578051,5.374406999995699,14.68308162689209,0.9615384615384616,14.4427490234375,0.9615384615384616,16.333154678344727,0.8837209302325582,15.491960525512695,0.8260869565217391
31,0.0003273174727893463,63.25471683612497,63.166148492234704,0.17713657326927518,15.433465957641602,590.1893660756027,0.9741439869666786,0.9094442791251302,5.30593349999981,14.875189781188965,0.9615384615384616,14.724841117858887,0.9615384615384616,16.400665283203125,0.8636363636363636,15.73316764831543,0.851063829787234
