client_id,n_engines,n_train_windows,pos_weight,best_epoch,rmse,mae,nasa_score,auprc,f1,precision,recall,train_seconds
client_1,50,8810,4.684,6,19.0923,14.1444,3691.3684,0.8912,0.8193,0.8947,0.7556,37.244
client_2,50,8921,4.755,6,17.85,12.5962,3552.4207,0.8922,0.8696,0.8511,0.8889,38.995
client_3,50,11923,6.692,8,19.2654,13.9061,3386.7757,0.9332,0.8298,0.7959,0.8667,50.208
client_4,50,9897,5.385,12,15.4683,11.1523,911.0063,0.9796,0.913,0.8936,0.9333,42.153
