round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,global_test_rmse,global_test_mae,global_test_nasa_score,global_test_auprc,global_test_f1,global_test_precision,global_test_recall,round_seconds
1,0.001,667.1782835924637,666.3994760841083,1.557614317710323,59.428436279296875,49.96060562133789,71560.25399088625,0.8274576664614732,0.5027932960893855,0.3358208955223881,1.0,6.331839699996635
2,0.0009989726963751681,413.7995200315554,413.08379961625786,1.4314400010508308,30.553194046020508,25.43791961669922,3657.7924022379284,0.8371614033395983,0.6666666666666666,0.8888888888888888,0.5333333333333333,6.5833168999961345
3,0.000995895006911623,152.7208553840287,152.38567654387668,0.6703572567902472,18.799837112426758,13.408123016357422,2946.6060248139106,0.9163616561665858,0.8372093023255814,0.8780487804878049,0.8,6.35089680000965
4,0.0009907795784955327,87.67627857081304,87.49730892659312,0.3579393617058883,18.47198486328125,13.785041809082031,2472.1712280446513,0.9387460806656619,0.8536585365853658,0.9459459459459459,0.7777777777777778,6.730571499996586
5,0.0009836474315195148,80.33352615217308,80.20013176918252,0.2667886139365967,18.930931091308594,14.244930267333984,2106.8614314666584,0.9088392326148858,0.775,0.8857142857142857,0.6888888888888889,6.413657199998852
6,0.0009745278735053344,76.61858294958002,76.50311057170511,0.23094436220353504,18.907249450683594,14.369426727294922,2036.3940941858323,0.9135866932288597,0.775,0.8857142857142857,0.6888888888888889,6.560808099995484
7,0.0009634583786730109,73.11778833612854,73.01202405349527,0.2115288359851142,18.707738876342773,14.276837348937988,1956.666101725401,0.9095635733487498,0.7901234567901234,0.8888888888888888,0.7111111111111111,6.469617399998242
8,0.0009504844339512095,71.07353977785043,70.97457572168334,0.19792807149716718,18.82617950439453,14.370500564575195,1993.4392648127846,0.9217036575769337,0.8292682926829268,0.918918918918919,0.7555555555555555,6.414374100000714
9,0.0009356593520616947,68.48745275449423,68.39511291427945,0.18467943838070727,18.981855392456055,14.652240753173828,2011.8318184974983,0.9348279225911968,0.8433734939759037,0.9210526315789473,0.7777777777777778,6.504507399993599
10,0.0009190440524459203,65.8162511206502,65.72819312434345,0.17611584602661712,18.577083587646484,14.287198066711426,1853.7893777419224,0.9342932006773226,0.8433734939759037,0.9210526315789473,0.7777777777777778,7.933511299997917
