epoch,lr,train_loss_total,train_loss_rul,train_loss_fault,test_rmse,test_mae,test_nasa_score,test_auprc,test_f1,test_precision,test_recall,epoch_seconds
1,0.001,540.5876568209741,539.7581298828125,1.6590552483835528,25.61774444580078,20.322803497314453,2833.2832177698238,0.8010669243334446,0.7857142857142857,0.8461538461538461,0.7333333333333333,3.2054575999936787
2,0.0009990133642141358,110.81685249574723,110.56937162337765,0.494962209366983,15.235397338867188,11.089433670043945,1307.1912720008354,0.9788134901486103,0.9333333333333333,0.9333333333333333,0.9333333333333333,3.1074491000035778
3,0.000996057350657239,80.72808389971333,80.59742987848097,0.2613079217653121,14.682585716247559,10.742902755737305,1006.8053211022695,0.986620361093574,0.9473684210526315,0.9,1.0,3.2508278000022983
4,0.0009911436253643444,73.25996408770162,73.14657765050089,0.22677299029404116,13.99449634552002,10.250328063964844,776.9867263815325,0.9845992007335326,0.9278350515463918,0.8653846153846154,1.0,3.284636900003534
5,0.0009842915805643156,68.96241632276966,68.85545964394846,0.21391318536573842,14.52282428741455,10.561685562133789,1105.7364225504648,0.9811424695783691,0.9183673469387755,0.8490566037735849,1.0,3.0905305999913253
6,0.0009755282581475769,67.6412345640121,67.53868713378907,0.20509515587360627,14.216687202453613,9.979486465454102,1001.7274780331746,0.9834184172302276,0.9278350515463918,0.8653846153846154,1.0,3.112113399998634
7,0.0009648882429441258,62.43999761766003,62.34094885549238,0.19809811437322247,14.000177383422852,9.779593467712402,895.3409003139741,0.9758172925088622,0.9278350515463918,0.8653846153846154,1.0,3.2371515999984695
8,0.0009524135262330099,58.35985439669702,58.26804548694241,0.18361767751555289,15.739790916442871,11.5559663772583,1350.6457923901148,0.9800733447914202,0.9565217391304348,0.9361702127659575,0.9777777777777777,3.320229900011327
9,0.0009381533400219318,56.1458867965206,56.055848743069554,0.18007618659927,14.897810935974121,10.61807632446289,1085.137850251237,0.9819836830007779,0.9473684210526315,0.9,1.0,3.179577800008701
10,0.0009221639627510075,53.88852337252709,53.80341198828913,0.17022272237846928,14.129169464111328,10.00581169128418,707.2944891892195,0.9761381588081719,0.9183673469387755,0.8490566037735849,1.0,3.403739100001985
11,0.0009045084971874736,51.13783803139963,51.05234446371755,0.17098730831376968,13.86724853515625,9.556539535522461,762.3888818948475,0.978555178893555,0.9278350515463918,0.8653846153846154,1.0,3.264305799995782
12,0.0008852566213878945,50.257662619313884,50.17299078664472,0.1693435358664682,13.82262897491455,9.664525985717773,769.6992121566584,0.9816921025400245,0.9183673469387755,0.8490566037735849,1.0,3.2062562000064645
13,0.0008644843137107056,48.36262758316532,48.28025741577149,0.1647404017948335,14.32113265991211,10.8654203414917,771.6154701557937,0.9762893178680598,0.9247311827956989,0.8958333333333334,0.9555555555555556,3.2625232999998843
14,0.0008422735529643443,46.73572651032479,46.654644898445376,0.16216290506624406,14.203509330749512,10.0542631149292,710.1487469456196,0.9658973945062697,0.9574468085106383,0.9183673469387755,1.0,3.1829266999993706
15,0.0008187119948743448,45.537445757465974,45.45802046252835,0.15885060593005149,14.282252311706543,10.441519737243652,726.5455638389594,0.972906506398608,0.9473684210526315,0.9,1.0,4.087080999990576
16,0.0007938926261462366,45.0650747237667,44.98789559641192,0.1543585074765067,13.967994689941406,9.818822860717773,615.8708836962471,0.9668575481304362,0.9375,0.8823529411764706,1.0,3.598142899994855
17,0.0007679133974894982,44.87077238021358,44.794309382284844,0.1529260761314823,13.750146865844727,9.786083221435547,589.9863680736048,0.974716986560739,0.9473684210526315,0.9,1.0,3.7281790999986697
18,0.0007408768370508576,43.72284452376827,43.64752694406817,0.15063525553672544,14.16988468170166,10.253325462341309,700.141916373894,0.9695637961396475,0.9574468085106383,0.9183673469387755,1.0,3.3520996999868657
19,0.0007128896457825362,43.06239766766948,42.990201765491115,0.14439198076725007,13.93397045135498,10.046513557434082,677.4802147265063,0.9727106673513546,0.9574468085106383,0.9183673469387755,1.0,3.4935629999963567
20,0.0006840622763423389,42.92859056534306,42.855405992077245,0.1463691194211283,13.710205078125,9.755188941955566,587.3552658734958,0.9639158917720716,0.9574468085106383,0.9183673469387755,1.0,3.4101659000007203
21,0.0006545084971874735,42.39815467096144,42.32748450002363,0.14134024261466918,13.917366027832031,9.895434379577637,671.6082589276577,0.9689195679515596,0.9473684210526315,0.9,1.0,3.531373599995277
22,0.0006243449435824271,41.20434697058893,41.135172173284715,0.13834940586839953,14.149075508117676,10.389028549194336,673.491208076302,0.9683246703328524,0.967741935483871,0.9375,1.0,3.306373100000201
23,0.0005936906572928622,40.59661409931798,40.528060076313636,0.13710801820120505,13.781014442443848,9.857823371887207,611.8297385614467,0.975669382670698,0.967741935483871,0.9375,1.0,3.314075700007379
24,0.000562666616782152,40.26810491008143,40.20130970862604,0.13359034746404616,13.799934387207031,9.897278785705566,614.9543831875945,0.9675151007273175,0.9574468085106383,0.9183673469387755,1.0,3.36304999999993
25,0.0005313952597646566,39.939529714276716,39.87168454816265,0.1356905600236308,13.996922492980957,9.931861877441406,672.075382992619,0.9625906444878878,0.967741935483871,0.9375,1.0,3.3052107999974396
26,0.0004999999999999998,39.84547302492203,39.77967155210433,0.13160274802677094,14.3530912399292,10.497637748718262,701.8774637582314,0.975697519880691,0.9565217391304348,0.9361702127659575,0.9777777777777777,3.2465590000065276
27,0.00046860474023534314,39.50534336951471,39.43808825092931,0.13451032299668558,13.9088773727417,9.848997116088867,617.1786118104228,0.9698778906745882,0.9473684210526315,0.9,1.0,3.3499320999981137
28,0.00043733338321784774,38.139203434605754,38.07193208509876,0.13454287472751833,13.76579475402832,9.742734909057617,578.7345804698907,0.9686435231902207,0.9574468085106383,0.9183673469387755,1.0,3.5876432999939425
29,0.00040630934270713756,37.61399040222168,37.54179649353027,0.14438800600267226,14.242749214172363,10.461921691894531,682.963694899817,0.9756651430777648,0.946236559139785,0.9166666666666666,0.9777777777777777,3.27644610000425
30,0.00037565505641757246,37.99841141239289,37.927448974117155,0.1419245170249093,14.225586891174316,10.435439109802246,686.4855566897102,0.9748596341870382,0.946236559139785,0.9166666666666666,0.9777777777777777,3.2660602000105428
31,0.00034549150281252633,37.07056942601358,37.00007539564563,0.14098809284548605,14.556815147399902,10.700727462768555,751.2991128993303,0.9677671398716834,0.946236559139785,0.9166666666666666,0.9777777777777777,3.2857637999986764
32,0.00031593772365766105,36.8520566017397,36.786102122645225,0.13190883448527704,14.485502243041992,10.743200302124023,726.1821275587625,0.9729801740267465,0.9230769230769231,0.9130434782608695,0.9333333333333333,3.4480410999967717
33,0.00028711035421746355,36.33611702457551,36.270091936665196,0.1320500678833454,14.039438247680664,10.160406112670898,661.7165606852335,0.9714245215799149,0.946236559139785,0.9166666666666666,0.9777777777777777,3.330788399995072
