round,lr,mean_client_loss_total,macro_rmse,macro_nasa_score,macro_auprc,macro_f1,head_similarity_max,head_similarity_min,n_clusters,clusters_str,round_seconds,client_1_rmse,client_1_f1,client_2_rmse,client_2_f1,client_3_rmse,client_3_f1,client_4_rmse,client_4_f1
1,0.001,761.0953135290812,74.54849624633789,152588.11383916874,0.6927927818672535,0.0,0.9995648860931396,0.9958844184875488,4,client_1/client_2/client_3/client_4,5.537793299998157,75.29873657226562,0.0,75.29210662841797,0.0,73.80213928222656,0.0,73.8010025024414,0.0
2,0.0009989726963751681,663.5792753910306,65.39801216125488,64829.656153841956,0.8535657182781533,0.36666666666666664,0.9996106624603271,0.9939149022102356,4,client_1/client_2/client_3/client_4,4.003163800007314,66.60111236572266,0.4,66.59849548339844,0.4,64.197509765625,0.3333333333333333,64.19493103027344,0.3333333333333333
3,0.000995895006911623,564.190156177508,54.020877838134766,20568.701814144275,0.8503127398175757,0.36666666666666664,0.9996099472045898,0.9926944971084595,4,client_1/client_2/client_3/client_4,3.922130900013144,55.784507751464844,0.4,55.82107925415039,0.4,52.25870132446289,0.3333333333333333,52.21922302246094,0.3333333333333333
4,0.0009907795784955327,443.5650336357446,39.63434886932373,4586.74068804858,0.7619871896764534,0.6692577030812324,0.9997937679290771,0.9914353489875793,1,client_1+client_2+client_3+client_4,3.9974458999931812,40.20301818847656,0.8,40.095191955566406,0.8333333333333334,39.16645812988281,0.5142857142857142,39.07272720336914,0.5294117647058824
5,0.0009836474315195148,297.45426359968724,26.457953453063965,1350.7272135732585,0.9032906828906312,0.7841990900436433,0.9999775290489197,0.9993411898612976,1,client_1+client_2+client_3+client_4,3.8589588000031654,26.912277221679688,0.7441860465116279,26.438188552856445,0.7727272727272727,26.296300888061523,0.7777777777777778,26.185047149658203,0.8421052631578947
6,0.0009745278735053344,179.2389959259287,20.100240230560303,1370.0676263585412,0.8922156982739129,0.8232178968655207,0.9999756813049316,0.997402548789978,1,client_1+client_2+client_3+client_4,3.9614044000045396,20.175674438476562,0.8260869565217391,19.087732315063477,0.8260869565217391,20.600345611572266,0.7906976744186046,20.537208557128906,0.85
7,0.0009634583786730109,114.15745839850848,18.395490646362305,1146.4595901261346,0.9165646735276355,0.8533333333333334,0.9999789595603943,0.9981907606124878,1,client_1+client_2+client_3+client_4,3.5727919999917503,17.83099937438965,0.8333333333333334,17.363054275512695,0.88,19.0013484954834,0.85,19.386560440063477,0.85
8,0.0009504844339512095,99.82795448429957,17.539581775665283,1053.303286009444,0.9489766798345651,0.8818218623481782,0.9999180436134338,0.9992557168006897,1,client_1+client_2+client_3+client_4,3.917237000001478,17.13307762145996,0.92,16.70838737487793,0.9230769230769231,17.983829498291016,0.8421052631578947,18.333032608032227,0.8421052631578947
9,0.0009356593520616947,91.89314928086493,16.944671154022217,868.9100379678754,0.9541203949007905,0.8913492592737876,0.9994114637374878,0.9973782300949097,1,client_1+client_2+client_3+client_4,3.866942500011646,16.305133819580078,0.9230769230769231,16.042139053344727,0.9056603773584906,17.651933670043945,0.8648648648648649,17.779478073120117,0.8717948717948718
10,0.0009190440524459203,88.27265136820137,16.65561819076538,791.6152136388621,0.9550927599735411,0.9087542087542088,0.9997158050537109,0.9945706725120544,1,client_1+client_2+client_3+client_4,3.62059340000269,16.34653091430664,0.9259259259259259,16.294876098632812,0.9090909090909091,17.062408447265625,0.9,16.918657302856445,0.9
11,0.0009007068109339783,87.0789317485898,16.51183009147644,750.6514540611684,0.9589499442962428,0.9160484868032037,0.9997917413711548,0.9942045211791992,1,client_1+client_2+client_3+client_4,3.699217300003511,15.912725448608398,0.9433962264150944,15.798123359680176,0.9259259259259259,17.229015350341797,0.8717948717948718,17.10745620727539,0.9230769230769231
12,0.0008807229791845672,84.71576248308354,16.268351554870605,698.307713491404,0.960694322603121,0.907633978998452,0.9998000860214233,0.9937729835510254,1,client_1+client_2+client_3+client_4,3.7921667999908095,15.805864334106445,0.9433962264150944,15.87234115600586,0.9090909090909091,16.746030807495117,0.8780487804878049,16.649169921875,0.9
13,0.0008591746750488638,83.59222058489473,16.09777545928955,682.1505538556855,0.962401498529047,0.9146468311562651,0.9996893405914307,0.9926486015319824,1,client_1+client_2+client_3+client_4,3.925380500004394,15.422747611999512,0.9433962264150944,15.362040519714355,0.9433962264150944,16.799406051635742,0.9,16.806907653808594,0.8717948717948718
14,0.0008361504451306584,80.92468174303886,16.032180786132812,666.3681520902466,0.9591718024377149,0.920382323733863,0.9998810291290283,0.9939501285552979,1,client_1+client_2+client_3+client_4,3.8810462999972515,15.37147331237793,0.9433962264150944,15.379100799560547,0.9433962264150944,16.711578369140625,0.8947368421052632,16.66657066345215,0.9
15,0.0008117449009293668,79.76052270331652,16.128523111343384,712.4836977142231,0.9590054512212349,0.9216981132075471,0.9998836517333984,0.9937584400177002,1,client_1+client_2+client_3+client_4,3.650028599993675,15.51329517364502,0.9433962264150944,15.504232406616211,0.9433962264150944,16.742341995239258,0.9,16.754222869873047,0.9
16,0.0007860583300610849,78.69916209921092,15.856448888778687,649.656043075642,0.9568105107450444,0.9216981132075471,0.9998259544372559,0.9944016337394714,1,client_1+client_2+client_3+client_4,3.8103106999915326,15.231677055358887,0.9433962264150944,15.335748672485352,0.9433962264150944,16.4869327545166,0.9,16.371437072753906,0.9
17,0.0007591962841552626,77.33587913418134,16.043679237365723,734.5828684291537,0.9598268797926636,0.9216981132075471,0.9998708367347717,0.9936428070068359,1,client_1+client_2+client_3+client_4,3.5834381000022404,15.467004776000977,0.9433962264150944,15.40087890625,0.9433962264150944,16.667600631713867,0.9,16.639232635498047,0.9
18,0.0007312691451204176,75.65794441311859,15.881806135177612,707.7790569570298,0.9582948555621267,0.9261515545030938,0.9999025464057922,0.9948853850364685,1,client_1+client_2+client_3+client_4,3.753544299994246,15.363144874572754,0.9433962264150944,15.338205337524414,0.9433962264150944,16.45526123046875,0.8947368421052632,16.37061309814453,0.9230769230769231
19,0.0007023916715611969,75.02233392614067,15.55211329460144,638.4914514211293,0.9601386477348661,0.9216981132075471,0.9998492002487183,0.9945416450500488,1,client_1+client_2+client_3+client_4,4.712393600013456,15.074064254760742,0.9433962264150944,15.174813270568848,0.9433962264150944,16.02056121826172,0.9,15.939014434814453,0.9
20,0.0006726825272106538,73.32785267021966,15.471068143844604,629.5090623773364,0.9613446916909101,0.9216981132075471,0.9998564720153809,0.9948945045471191,1,client_1+client_2+client_3+client_4,4.0055530999961775,14.948677062988281,0.9433962264150944,15.015165328979492,0.9433962264150944,16.00130271911621,0.9,15.919127464294434,0.9
21,0.0006422637933155162,71.9583609726738,15.676774978637695,701.0449679762406,0.9591058571505882,0.9307692307692308,0.9999206066131592,0.9953514337539673,1,client_1+client_2+client_3+client_4,4.179045900003985,15.145590782165527,0.9615384615384616,15.060051918029785,0.9615384615384616,16.249408721923828,0.9,16.25204849243164,0.9
22,0.0006112604669781572,71.32802655071119,15.53842806816101,654.3886641873613,0.9622576953539139,0.9307692307692308,0.9999397397041321,0.9957809448242188,1,client_1+client_2+client_3+client_4,3.9387772000045516,15.028515815734863,0.9615384615384616,15.053817749023438,0.9615384615384616,16.053386688232422,0.9,16.01799201965332,0.9
23,0.0005797999475166897,70.5018286175902,15.636429786682129,692.1726810427448,0.961365726910458,0.9307692307692308,0.9998917579650879,0.9961572289466858,1,client_1+client_2+client_3+client_4,3.8188185000035446,15.20497989654541,0.9615384615384616,15.225014686584473,0.9615384615384616,16.061391830444336,0.9,16.054332733154297,0.9
24,0.0005480115129538409,69.15025959585196,15.488838195800781,646.8959409794863,0.9629392510850852,0.925281425891182,0.9999458193778992,0.996356189250946,1,client_1+client_2+client_3+client_4,4.070006800000556,15.023077011108398,0.9615384615384616,15.149211883544922,0.9615384615384616,15.899872779846191,0.8780487804878049,15.883191108703613,0.9
