round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,macro_rmse,macro_nasa_score,macro_auprc,macro_f1,round_seconds
1,0.001,780.7769712882499,780.2026331449605,1.1486755868845469,72.42820739746094,125696.68195781224,0.8481009051955112,0.12857142857142856,6.768880999996327
2,0.0009989726963751681,662.1387689618139,661.3860051140762,1.5055289326044186,61.965341567993164,46325.37123296909,0.8200955927714932,0.409915611814346,4.941059499993571
3,0.000995895006911623,549.8500679802302,548.9370123426331,1.826108752143129,49.74202537536621,12679.971978624335,0.8054939287060308,0.4149122807017544,4.951347599999281
4,0.0009907795784955327,420.5009102538429,419.56632455837627,1.869171813371332,34.839003562927246,2672.5546836356243,0.6810304494038238,0.4543859649122807,4.618293099993025
5,0.0009836474315195148,265.98888074359064,265.2864140600495,1.4049335251198731,24.55235528945923,2336.3839443538927,0.87149466060756,0.7516381468509128,4.727159700007178
6,0.0009745278735053344,159.02370758817978,158.5642208201241,0.9189738608178457,22.993116855621338,4610.873738879628,0.883380912306804,0.8061170212765958,5.005793199990876
7,0.0009634583786730109,129.03720268664057,128.72991017295146,0.6145855427338855,21.540096759796143,3060.201417770647,0.9075275902542128,0.8079106280193237,5.02443379999022
8,0.0009504844339512095,118.45468499018759,118.21171057302189,0.48594929430540185,19.676568508148193,1893.6944701770794,0.9348097723908868,0.8719004959206527,5.244155400010641
9,0.0009356593520616947,110.53420020612955,110.32384467800873,0.42071052964414063,17.919831037521362,1438.39082775451,0.9471857714924652,0.8641613082479955,4.8498341999948025
10,0.0009190440524459203,104.09018357384338,103.91923419377486,0.34189890949970986,16.956124544143677,1088.1050632422257,0.9530992280026096,0.8463478958834996,5.095539600006305
11,0.0009007068109339783,100.71559232925176,100.56648375085209,0.2982171278012675,16.3858585357666,893.3891917131693,0.9614521923546038,0.8785287464532747,4.969085500008077
12,0.0008807229791845672,98.6428213146524,98.50304114493761,0.27956045386419787,16.720242738723755,953.2291412687812,0.9668066859826663,0.8742307692307694,6.416129299992463
13,0.0008591746750488638,97.61413899784267,97.47755907327836,0.27316064430837417,16.117374897003174,805.3477595140223,0.970020180976414,0.8994558452105622,4.9217732999968575
14,0.0008361504451306584,95.63633386389162,95.50759296319691,0.2574814884950593,16.15677499771118,838.9420088831329,0.9728142789836698,0.9119449811697105,4.993705700006103
15,0.0008117449009293668,93.9687805796568,93.84821840390399,0.2411246063230328,15.686488389968872,688.166415930233,0.9738351013189226,0.9062094885921126,4.703406799992081
16,0.0007860583300610849,92.20172715442067,92.0883635403031,0.22672745653855972,16.26201581954956,849.1383339351215,0.9733317777324346,0.9062094885921126,4.816675599999144
17,0.0007591962841552626,90.61256353478308,90.50086630616102,0.22339429615598114,16.03507947921753,766.9874123250959,0.97299137839747,0.8961085211085211,4.709507999999914
18,0.0007312691451204176,88.19291129210194,88.08477304172216,0.21627667453770466,15.9530508518219,723.5233602751022,0.9724893589796897,0.8990740740740741,4.750104700011434
19,0.0007023916715611969,87.9430864894039,87.83748195035966,0.2112093134860285,16.050493717193604,769.1505847765601,0.9765190092156619,0.8926056111398956,5.2672105000092415
20,0.0006726825272106538,86.46431298523461,86.361083988635,0.20645854305712316,15.672883749008179,661.9797800238655,0.9779081158950163,0.8732436253717518,5.0304701999993995
21,0.0006422637933155162,84.79460759296875,84.69459171351224,0.20003179727136733,15.477730751037598,589.2873131090543,0.9764831582143378,0.8732436253717518,4.762683499997365
22,0.0006112604669781572,83.58383275667018,83.48587601889719,0.19591363547663915,16.454739332199097,844.4596814895134,0.975036501800576,0.8962581536110948,5.1476305999967735
23,0.0005797999475166897,83.09719784627512,82.9971401779369,0.20011544936677214,16.41583251953125,869.0377104838624,0.9782238281671073,0.9069724393253805,4.815852300002007
24,0.0005480115129538409,80.91928613996396,80.8222436886997,0.19408476907271677,16.200236558914185,806.2639478950321,0.9771309710242501,0.8846483704974272,4.9994677000067895
25,0.0005160257887858277,80.5176717792117,80.42086610995634,0.19361156590012002,15.925404787063599,739.7915250042067,0.9765952567385359,0.8748984717074492,4.717287999999826
26,0.0004839742112141724,78.88642945451309,78.79192807756168,0.189002468135828,15.981327056884766,750.6766114235245,0.9746454704137495,0.8780416051697316,4.791949900012696
27,0.0004519884870461591,78.06785749103003,77.9749736620548,0.18576795788061745,16.130685806274414,788.9116812949773,0.9754522385904835,0.8917332667332668,4.850510700009181
28,0.0004202000524833105,77.2979933406246,77.2013141810211,0.19335841168602852,16.115288734436035,771.6061800185041,0.9776386502856194,0.8888613437423938,4.718770499996026
29,0.00038873953302184284,76.87456713464687,76.77980260141291,0.18952884174162482,16.01790452003479,746.1383146782509,0.9767463556396347,0.8890025069270353,4.691202000001795
30,0.0003577362066844838,75.75657697368908,75.66318414975443,0.18678568303675963,16.057334899902344,748.5549905131718,0.9770479542920629,0.8933566433566434,4.784954299990204
31,0.0003273174727893463,75.35223078994858,75.25551965806149,0.19342212045045315,15.872444868087769,693.8773153228788,0.9768616295057382,0.8815052370351447,5.091042700005346
32,0.0002976083284388031,74.39406289917515,74.30204915484309,0.1840275706869857,15.855056762695312,689.6071401802278,0.9762695242425803,0.8851265014055713,5.542437900003279
33,0.0002687308548795825,74.0251068950519,73.93273504558903,0.18474388479379808,15.907306671142578,709.897427528903,0.9759002934733495,0.8932154801720019,4.880499299993971
34,0.00024080371584473748,73.25566476476729,73.16286614980189,0.18559714347304657,16.013203620910645,738.1176171647646,0.974281872420718,0.8917332667332668,5.1827734999969834
35,0.0002139416699389153,73.36797472610203,73.27405383709119,0.18784189383186986,16.006476402282715,735.0081541056026,0.9735045252065286,0.8842045271290555,4.758543699994334
36,0.00018825509907063325,73.32513130622853,73.2325560462241,0.18515037326796355,16.05386185646057,754.4650912180407,0.9740402394922429,0.8967544083823153,4.932379499994568
37,0.00016384955486934162,72.63468899996836,72.54179283879668,0.18579222529011688,15.987315893173218,744.2883090721978,0.9740628678958311,0.8917332667332668,5.066649200001848
38,0.00014082532495113625,72.21136343844444,72.1166378969592,0.1894511530122464,15.901606798171997,718.9700589844202,0.9721297482377114,0.8904847203657704,4.741686499997741
39,0.0001192770208154328,72.46822235134177,72.37412160852043,0.18820159437434708,15.912748098373413,722.5044981927072,0.9730293694498326,0.9003367798892151,4.763023999999859
40,9.929318906602175e-05,71.38712736442349,71.29356146992066,0.18713141769188074,15.95295262336731,730.5211509315036,0.9734127027831658,0.8980463980463981,4.707276899993303
41,8.09559475540797e-05,71.38733813506862,71.29399797232585,0.1866801331447821,15.88424038887024,714.5555620945229,0.9730293694498326,0.8980463980463981,4.829357399998116
42,6.43406479383053e-05,71.35609922641993,71.26027517732179,0.1916484367390335,15.848541259765625,702.9431202086644,0.973723813894277,0.9046909163188234,4.9395681000023615
43,4.9515566048790485e-05,71.1657240780654,71.07303455131749,0.18537894138270197,15.907002925872803,723.5081518694229,0.9744236770745751,0.9033989266547406,4.800328199999058
44,3.654162132698918e-05,71.63282449213477,71.5396876846547,0.18627383980029516,15.841758966445923,705.3661301146572,0.9747325858241016,0.8996697746697747,4.97659879999992
45,2.547212649466568e-05,71.31885788147463,71.22389501079762,0.18992565775429815,15.856180667877197,709.4317508380591,0.9766983852207833,0.9097414213693285,5.272549299988896
46,1.6352568480485276e-05,71.63954235398195,71.54451737765312,0.19005018168101317,15.801833152770996,693.1358258928152,0.9766479073637366,0.9047202797202798,4.852149900005315
47,9.22042150446728e-06,71.88831885652685,71.79310397877776,0.19042945971111508,15.82116174697876,700.1601530442201,0.9766479073637366,0.9047202797202798,5.012417500009178
48,4.104993088376974e-06,71.97290505351847,71.87779768040869,0.19021465187814768,15.829391717910767,702.3539347847034,0.9766479073637366,0.9047202797202798,4.558602700009942
49,1.0273036248318324e-06,72.45268102010334,72.35679706958688,0.1917681318217478,15.830212354660034,702.569851795238,0.9766479073637366,0.9047202797202798,4.8316142999974545
50,0.0,72.73840748933891,72.6409745861138,0.19486580678668067,15.830212354660034,702.569851795238,0.9766479073637366,0.9047202797202798,4.84605960000772
