round,lr,mean_client_loss_total,macro_rmse,macro_nasa_score,macro_auprc,macro_f1,head_similarity_max,head_similarity_min,n_clusters,clusters_str,round_seconds,client_1_rmse,client_1_f1,client_2_rmse,client_2_f1,client_3_rmse,client_3_f1,client_4_rmse,client_4_f1
1,0.001,752.5469477615077,71.8799991607666,119324.12794858722,0.8131923047134254,0.36666666666666664,0.9999178647994995,0.9935029745101929,4,client_1/client_2/client_3/client_4,6.090012200002093,72.70065307617188,0.4,72.6955795288086,0.4,70.80095672607422,0.3333333333333333,71.32280731201172,0.3333333333333333
2,0.0009989726963751681,632.0634642860782,62.14788055419922,47179.54745872934,0.8394826041591212,0.6537772263578715,0.9999094605445862,0.9914871454238892,4,client_1/client_2/client_3/client_4,4.0137429000023985,63.49567794799805,0.5555555555555556,63.48955154418945,0.7692307692307693,60.03085708618164,0.6451612903225806,61.575435638427734,0.6451612903225806
3,0.000995895006911623,527.3619272935623,49.752586364746094,13316.073513979543,0.8421973287056348,0.7479390299648492,0.9998551607131958,0.9888358116149902,4,client_1/client_2/client_3/client_4,3.910179300000891,51.71576690673828,0.7719298245614035,51.72885513305664,0.8301886792452831,46.44799041748047,0.6349206349206349,49.117733001708984,0.7547169811320755
4,0.0009907795784955327,393.035624189825,34.61916160583496,2625.649861482431,0.8688971261214407,0.7271825396825397,0.9998558759689331,0.9870635271072388,1,client_1+client_2+client_3+client_4,3.961259900002915,34.97547149658203,0.7142857142857143,35.11652755737305,0.6666666666666666,34.33995056152344,0.75,34.04469680786133,0.7777777777777778
5,0.0009836474315195148,248.46921796554176,23.32874584197998,1984.65825315887,0.8927618789361051,0.778482499412732,0.99994295835495,0.9957488775253296,1,client_1+client_2+client_3+client_4,4.441254599994863,22.82020378112793,0.7727272727272727,23.421796798706055,0.7727272727272727,23.43581199645996,0.7906976744186046,23.637170791625977,0.7777777777777778
6,0.0009745278735053344,143.8997603600102,20.53237533569336,2082.2703147568536,0.8891742851987449,0.813882552575943,0.999891996383667,0.9949852228164673,1,client_1+client_2+client_3+client_4,3.843061300001864,19.59369468688965,0.7727272727272727,20.707887649536133,0.7906976744186046,19.741710662841797,0.85,22.08620834350586,0.8421052631578947
7,0.0009634583786730109,110.67101000122173,17.862250328063965,1086.0921930735424,0.9002264995080019,0.8282461809635723,0.9995937347412109,0.9946098327636719,1,client_1+client_2+client_3+client_4,3.950505599997996,16.87485694885254,0.8260869565217391,17.442018508911133,0.8260869565217391,17.73151397705078,0.85,19.400611877441406,0.8108108108108109
8,0.0009504844339512095,98.7687344140139,17.119720935821533,1008.5407565537417,0.9347066435773945,0.872964829656559,0.999697208404541,0.9983280301094055,1,client_1+client_2+client_3+client_4,3.9604219000029843,16.259443283081055,0.8979591836734694,16.43750762939453,0.88,17.182619094848633,0.8717948717948718,18.599313735961914,0.8421052631578947
9,0.0009356593520616947,92.12013872757713,16.981146335601807,949.2310873825774,0.9543184945366339,0.8696725860155383,0.9998588562011719,0.9961019158363342,1,client_1+client_2+client_3+client_4,3.7814577000026475,16.018474578857422,0.9433962264150944,16.03865623474121,0.9019607843137255,17.48729705810547,0.8333333333333334,18.380157470703125,0.8
10,0.0009190440524459203,88.27253659555095,16.472468852996826,808.7218727995119,0.9577467690919235,0.9190665342601788,0.99981689453125,0.9951542019844055,1,client_1+client_2+client_3+client_4,3.7179658000022755,15.928593635559082,0.9433962264150944,15.756258964538574,0.9433962264150944,16.875619888305664,0.8947368421052632,17.329402923583984,0.8947368421052632
11,0.0009007068109339783,85.24039999263414,16.681428909301758,834.5174130564379,0.9581789214012211,0.9001731469457388,0.9998286962509155,0.9943397045135498,1,client_1+client_2+client_3+client_4,3.8966491000028327,16.171092987060547,0.9433962264150944,16.07665252685547,0.9433962264150944,17.041383743286133,0.8717948717948718,17.436586380004883,0.8421052631578947
