round,lr,mean_client_loss_total,mean_client_loss_rul,mean_client_loss_fault,macro_rmse,macro_nasa_score,macro_auprc,macro_f1,round_seconds
1,0.001,735.6224458004535,734.9539546485814,1.3369828577600562,64.56281661987305,144144.92316828985,0.27050283096404837,0.0,14.076191500003915
2,0.0009989726963751681,477.46617767662906,476.6078512008352,1.7166533881925954,43.24262237548828,26593.25871124867,0.3302760885388167,0.0,12.728133099968545
3,0.000995895006911623,303.71734101070734,302.8018979454979,1.8308862525476004,29.20677423477173,25845.373964722206,0.589283490732047,0.3748677530065804,12.918372500047553
4,0.0009907795784955327,178.8993536584651,178.43724350506747,0.9242204737576132,29.557637691497803,26030.94267973139,0.783711919465527,0.6993841790823919,12.618530899984762
5,0.0009836474315195148,175.75747272950318,175.43261062405472,0.6497244741556547,29.04509925842285,24760.33438182033,0.7952287018080071,0.7017737878393616,13.036973999987822
6,0.0009745278735053344,171.15743748657076,170.85633084278277,0.6022136121710215,29.67875576019287,23668.45756485774,0.8116295311199404,0.7017624264103137,12.905220800021198
7,0.0009634583786730109,171.80366697836513,171.513560648475,0.5802125821292794,28.76777744293213,13568.888366674362,0.8223435510673361,0.6873653534864186,12.736121899972204
8,0.0009504844339512095,169.16277292852925,168.87993281547054,0.5656800003290441,28.938835620880127,15236.613450454446,0.8235145854832748,0.7001593972732935,13.068442500021774
9,0.0009356593520616947,167.11988730240523,166.83698922989805,0.5657959925739746,28.683041095733643,18775.155851958203,0.8310528053777703,0.7000341776619059,12.849875500018243
10,0.0009190440524459203,163.7477581057085,163.46832111973433,0.5588739663696947,29.67759418487549,13877.884591329115,0.8264902202806055,0.6622854727848806,13.192870799975935
11,0.0009007068109339783,168.24392021501023,167.96508375463088,0.5576733467362849,28.552722930908203,25963.09067507121,0.8301592115471778,0.7156332398879923,12.778131700004451
12,0.0008807229791845672,158.27854539005068,158.00418280688825,0.5487247087341037,28.568836212158203,18420.14112866435,0.8261825203461611,0.6889773507668129,12.705157800053712
13,0.0008591746750488638,159.24357091321681,158.9728254817843,0.5414910769621724,28.713929176330566,14934.068540152777,0.8266493465063564,0.6830915598038886,13.039758099999744
